Name,Latitude,Longitude,Rating,DateVisited
Ten Ren,25.0388,121.5122,4.1,12/13/2025
Presotea Banqiao,25.013,121.467,3.7,12/14/2025
Xing Fu Tang,25.045,121.5076,4.3,12/15/2025
Presotea Banqiao,25.013,121.467,4.2,12/17/2025
Milksha,25.0279,121.5521,4.1,12/17/2025
Yi Fang,25.0345,121.5645,4.2,12/18/2025
Sharetea,25.0419,121.5227,4.2,12/19/2025
Milksha,25.0279,121.5521,4.5,12/20/2025
CoCo Xindian,24.9673,121.5415,4.1,12/21/2025
One Zo,25.0327,121.5652,2.4,12/22/2025
Yi Fang,25.0345,121.5645,4.4,12/23/2025
Milkshop Tamsui,25.1695,121.439,4.6,12/24/2025
The Alley Shenkeng,24.993,121.621,4.4,12/24/2025
Chun Shui Tang,25.0438,121.5321,4.7,12/24/2025
Xing Fu Tang,25.045,121.5076,4.7,12/25/2025
Truedan,25.0372,121.5238,4.8,12/26/2025
Tiger Sugar,25.0461,121.517,4.3,12/27/2025
CoCo Fresh Tea & Juice,25.0457,121.5135,3.5,12/28/2025
Presotea,25.0531,121.5488,4.5,12/28/2025
Chen San Ding,25.0356,121.5349,4.2,12/29/2025
Ten Ren,25.0388,121.5122,4.6,12/30/2025
Chun Shui Tang,25.0438,121.5321,3.6,12/30/2025
The Alley Shenkeng,24.993,121.621,3.5,12/30/2025
